Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,ROI_Flag,Audience_Segment_Match,Channel_Count,Month,Month_Number,Quarter,Weekday,Channel_Combo,Duration_Bucket,CTR,Lead_Rate,Conversion_Rate,Impression_To_Conversion,Revenue_Per_Click,Revenue_Per_Conversion,Cost_Per_Conversion,Profit,Profitable_Flag
NY-CMP-38453,Email,Youth,30,Email,30738,1024,312,212,73140,1244.59,-0.72,English,5.04,College Students,2024-07-01,Loss-Making,False,1,July,7,Q3,Monday,Email,Long,0.03331381352072353,0.3046875,0.6794871794871795,0.006897000455462294,71.42578125,345.0,5.870707547169811,71895.41,0
NY-CMP-33522,Email,College Students,27,Instagram,82986,5855,3009,1697,1162445,150.29,3.56,English,12.73,Youth,2024-07-01,Profitable,False,1,July,7,Q3,Monday,Instagram,Long,0.07055406936109705,0.5139197267292912,0.5639747424393486,0.020449232400645893,198.5388556789069,685.0,0.08856216853270477,1162294.71,1
NY-CMP-10734,Email,College Students,5,WhatsApp,96428,2850,779,482,236180,272.53,0.8,English,4.26,Working Women,2024-07-01,Profitable,False,1,July,7,Q3,Monday,WhatsApp,Short,0.029555730700626375,0.2733333333333333,0.6187419768934531,0.004998548139544531,82.87017543859649,490.0,0.565414937759336,235907.47,1
NY-CMP-17945,Email,College Students,19,"WhatsApp, Email",15532,367,132,88,43208,2330.65,-0.79,English,3.78,Working Women,2024-07-01,Loss-Making,False,2,July,7,Q3,Monday,"Email, WhatsApp",Medium,0.023628637651300542,0.35967302452316074,0.6666666666666666,0.0056657223796034,117.73297002724796,491.0,26.48465909090909,40877.35,0
NY-CMP-54867,Email,Premium Shoppers,10,"Google, WhatsApp",34244,1481,863,613,273398,193.18,1.31,Tamil,8.64,Premium Shoppers,2024-07-01,Profitable,True,2,July,7,Q3,Monday,"Google, WhatsApp",Short,0.04324845228361173,0.5827143821742066,0.7103128621089224,0.017900946151150565,184.60364618501012,446.0,0.31513866231647636,273204.82,1
NY-CMP-35647,Email,College Students,15,"Facebook, Google",98791,11670,3468,1967,952028,119.24,3.06,English,17.31,Working Women,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Facebook, Google",Medium,0.11812816957010254,0.29717223650385605,0.5671856978085352,0.019910720612201515,81.57909168808912,484.0,0.06062023385866802,951908.76,1
NY-CMP-13784,Email,Youth,29,YouTube,99046,12267,4590,3099,2225082,75.61,8.5,English,20.15,Youth,2024-07-01,Profitable,True,1,July,7,Q3,Monday,YouTube,Long,0.12385154372715708,0.37417461482024944,0.6751633986928105,0.031288492215738144,181.38762533626803,718.0,0.024398192965472732,2225006.39,1
NY-CMP-45845,Email,Youth,14,"WhatsApp, Facebook",68813,8254,2672,1705,494450,29.89,8.7,Bengali,18.36,Premium Shoppers,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Facebook, WhatsApp",Medium,0.11994826558935084,0.3237218318391083,0.6380988023952096,0.024777294987865666,59.90428882965835,290.0,0.017530791788856304,494420.11,1
NY-CMP-19578,Email,Youth,16,"Google, WhatsApp",98167,11681,6205,2120,1596360,28.45,25.46,English,20.38,College Students,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Google, WhatsApp",Medium,0.11899110699114773,0.5312045201609451,0.3416599516518936,0.021595851966546804,136.66295693861827,753.0,0.013419811320754716,1596331.55,1
NY-CMP-42144,Email,Youth,28,WhatsApp,55707,1803,1032,556,174028,103.94,2.01,English,6.09,Premium Shoppers,2024-07-01,Profitable,False,1,July,7,Q3,Monday,WhatsApp,Long,0.03236577090850342,0.5723793677204659,0.5387596899224806,0.009980792360026568,96.52135330005547,313.0,0.18694244604316546,173924.06,1
NY-CMP-26302,Email,Youth,19,"Email, Facebook",18652,1879,945,634,263744,468.03,-0.11,English,18.54,Youth,2024-07-01,Loss-Making,True,2,July,7,Q3,Monday,"Email, Facebook",Medium,0.1007398670383873,0.5029270888770623,0.6708994708994709,0.033990992923010936,140.364023416711,416.0,0.7382176656151419,263275.97,0
NY-CMP-6926,Email,Tier 2 City Customers,7,"YouTube, Facebook",97880,3291,1490,580,152540,199.87,0.32,Bengali,5.48,Premium Shoppers,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Facebook, YouTube",Short,0.03362280343277483,0.45274992403524766,0.38926174496644295,0.005925623212096444,46.35065329687025,263.0,0.3446034482758621,152340.13,1
NY-CMP-6899,Email,Working Women,17,"Instagram, Email",23442,2645,1466,582,235710,123.19,2.29,English,20.02,Youth,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Email, Instagram",Medium,0.11283166965276001,0.5542533081285445,0.3969986357435198,0.024827233171231124,89.11531190926276,405.0,0.21166666666666667,235586.81,1
NY-CMP-53426,Email,College Students,29,"Facebook, WhatsApp, Google",63675,8671,2609,1614,1008750,140.68,3.44,Bengali,20.25,Premium Shoppers,2024-07-01,Profitable,False,3,July,7,Q3,Monday,"Facebook, Google, WhatsApp",Long,0.13617589320769533,0.3008880175296967,0.6186278267535454,0.025347467608951707,116.33606273786184,625.0,0.08716232961586122,1008609.32,1
NY-CMP-29157,Email,Premium Shoppers,30,Google,18733,419,132,45,34065,4051.76,-0.81,Bengali,3.18,Tier 2 City Customers,2024-07-01,Loss-Making,False,1,July,7,Q3,Monday,Google,Long,0.022366946031068168,0.315035799522673,0.3409090909090909,0.002402177974697059,81.30071599045345,757.0,90.03911111111111,30013.239999999998,0
NY-CMP-23424,Email,College Students,7,"Instagram, Facebook",20970,1462,467,372,148056,165.65,1.4,Bengali,10.97,Premium Shoppers,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Facebook, Instagram",Short,0.06971864568431092,0.31942544459644323,0.7965738758029979,0.017739628040057225,101.26949384404925,398.0,0.4452956989247312,147890.35,1
NY-CMP-21419,Email,Working Women,27,Facebook,65481,8730,2262,1140,737580,48.05,12.46,Bengali,18.53,Youth,2024-07-02,Profitable,False,1,July,7,Q3,Tuesday,Facebook,Long,0.1333211160489302,0.259106529209622,0.5039787798408488,0.01740963027443075,84.48797250859107,647.0,0.04214912280701754,737531.95,1
NY-CMP-48261,Email,Premium Shoppers,7,"Email, WhatsApp, Instagram",16711,555,127,82,39934,1855.4,-0.74,English,4.57,Premium Shoppers,2024-07-02,Loss-Making,True,3,July,7,Q3,Tuesday,"Email, Instagram, WhatsApp",Short,0.03321165699240022,0.22882882882882882,0.6456692913385826,0.00490694751959787,71.95315315315315,487.0,22.626829268292685,38078.6,0
NY-CMP-28672,Email,Working Women,17,YouTube,70773,4667,2262,1128,327120,62.92,3.61,Bengali,11.38,Youth,2024-07-02,Profitable,False,1,July,7,Q3,Tuesday,YouTube,Medium,0.0659432269368262,0.48467966573816157,0.4986737400530504,0.015938281548047984,70.09213627598028,290.0,0.055780141843971634,327057.08,1
NY-CMP-16249,Email,Working Women,30,Google,31154,3581,1129,819,496314,76.55,6.92,Hindi,17.75,Working Women,2024-07-02,Profitable,True,1,July,7,Q3,Tuesday,Google,Long,0.11494511138216601,0.3152750628316113,0.7254207263064659,0.026288759067856455,138.59648142976823,606.0,0.09346764346764347,496237.45,1
NY-CMP-43801,Email,Youth,11,"Facebook, Instagram, Email",86611,8671,3995,1386,731808,44.55,10.85,Tamil,16.22,College Students,2024-07-02,Profitable,False,3,July,7,Q3,Tuesday,"Email, Facebook, Instagram",Medium,0.10011430418768978,0.4607311728751009,0.3469336670838548,0.01600258627656995,84.39718602237343,528.0,0.03214285714285714,731763.45,1
NY-CMP-47057,Email,College Students,29,"WhatsApp, Facebook",94555,8767,5115,3290,1595650,27.49,16.64,Tamil,18.16,Tier 2 City Customers,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Facebook, WhatsApp",Long,0.092718523610597,0.5834378920953576,0.6432062561094819,0.03479456401036434,182.0063875898255,485.0,0.00835562310030395,1595622.51,1
NY-CMP-17483,Email,College Students,7,Google,53553,1339,406,152,118408,1723.41,-0.55,Bengali,3.54,Youth,2024-07-02,Loss-Making,False,1,July,7,Q3,Tuesday,Google,Short,0.025003267790786696,0.3032113517550411,0.37438423645320196,0.0028383097118742182,88.43017176997759,779.0,11.338223684210528,116684.59,0
NY-CMP-28582,Email,Tier 2 City Customers,13,"Email, WhatsApp",12554,1487,840,454,237896,387.55,0.35,English,22.15,Working Women,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Email, WhatsApp",Medium,0.11844830332961606,0.5648957632817754,0.5404761904761904,0.036163772502787954,159.9838601210491,524.0,0.8536343612334802,237508.45,1
NY-CMP-32465,Email,College Students,17,"WhatsApp, Facebook, Email",42913,2921,1231,508,225552,551.19,-0.19,Tamil,10.86,Working Women,2024-07-02,Loss-Making,False,3,July,7,Q3,Tuesday,"Email, Facebook, WhatsApp",Medium,0.0680679514366276,0.42143101677507705,0.41267262388302195,0.011837904597674365,77.21739130434783,444.0,1.0850196850393703,225000.81,0
NY-CMP-23268,Email,Premium Shoppers,5,"Instagram, Email",34203,2145,834,513,343197,119.78,4.59,Bengali,10.21,College Students,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Email, Instagram",Short,0.06271379703534778,0.3888111888111888,0.6151079136690647,0.014998684325936321,159.9986013986014,669.0,0.23348927875243666,343077.22,1
NY-CMP-11639,Email,Youth,13,"YouTube, Google, WhatsApp",52060,6252,1841,1082,739006,256.93,1.66,Tamil,17.62,College Students,2024-07-02,Profitable,False,3,July,7,Q3,Tuesday,"Google, WhatsApp, YouTube",Medium,0.12009220130618517,0.29446577095329496,0.5877240630092341,0.020783711102573953,118.20313499680103,683.0,0.2374584103512015,738749.07,1
NY-CMP-5719,Email,College Students,10,"Email, Facebook",36413,1048,428,179,102746,568.6,0.01,Tamil,4.55,Premium Shoppers,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Email, Facebook",Short,0.028780929887677477,0.4083969465648855,0.4182242990654206,0.004915826765166287,98.04007633587786,574.0,3.176536312849162,102177.4,1
NY-CMP-6892,Email,Tier 2 City Customers,15,"Email, WhatsApp",21175,2107,931,623,256053,384.31,0.07,Tamil,17.29,College Students,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Email, WhatsApp",Medium,0.09950413223140496,0.4418604651162791,0.6691729323308271,0.029421487603305783,121.52491694352159,411.0,0.6168699839486357,255668.69,1
NY-CMP-4642,Email,Working Women,29,"Facebook, Email",62488,2576,872,564,156228,401.38,-0.31,English,6.42,Youth,2024-07-02,Loss-Making,False,2,July,7,Q3,Tuesday,"Email, Facebook",Long,0.0412239149916784,0.3385093167701863,0.6467889908256881,0.00902573294072462,60.64751552795031,277.0,0.7116666666666667,155826.62,0
NY-CMP-38739,Email,College Students,29,YouTube,13799,621,335,207,64791,873.83,-0.64,English,8.43,Premium Shoppers,2024-07-02,Loss-Making,False,1,July,7,Q3,Tuesday,YouTube,Long,0.04500326110587724,0.5394524959742351,0.6179104477611941,0.015001087035292413,104.33333333333333,313.0,4.221400966183575,63917.17,0
NY-CMP-8780,Email,Tier 2 City Customers,7,"Instagram, WhatsApp",98273,4405,2609,1239,491883,88.41,3.49,Bengali,8.4,Youth,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Instagram, WhatsApp",Short,0.044824112421519645,0.5922814982973893,0.4748945956305098,0.012607735593703255,111.66469920544836,397.0,0.07135593220338983,491794.59,1
NY-CMP-15120,Email,Youth,15,"YouTube, Email, WhatsApp",17579,416,234,161,98532,603.49,0.01,English,4.61,Youth,2024-07-02,Profitable,True,3,July,7,Q3,Tuesday,"Email, WhatsApp, YouTube",Medium,0.023664599806587406,0.5625,0.688034188034188,0.009158655213607144,236.85576923076923,612.0,3.748385093167702,97928.51,1
NY-CMP-15176,Email,Tier 2 City Customers,30,"Facebook, WhatsApp, YouTube",39810,1556,408,208,128544,1420.48,-0.56,Bengali,5.46,Working Women,2024-07-02,Loss-Making,False,3,July,7,Q3,Tuesday,"Facebook, WhatsApp, YouTube",Long,0.039085656870133136,0.2622107969151671,0.5098039215686274,0.005224817884953529,82.61182519280206,618.0,6.82923076923077,127123.52,0
NY-CMP-19287,Email,Working Women,11,"Google, YouTube",21421,1632,688,507,286962,339.2,0.67,Bengali,13.2,College Students,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Google, YouTube",Medium,0.07618691937818028,0.4215686274509804,0.7369186046511628,0.023668362821530273,175.83455882352942,566.0,0.6690335305719921,286622.8,1
NY-CMP-4318,Email,Premium Shoppers,9,"Instagram, WhatsApp, Email",75256,2920,1237,474,210930,504.06,-0.12,Hindi,6.15,College Students,2024-07-02,Loss-Making,False,3,July,7,Q3,Tuesday,"Email, Instagram, WhatsApp",Short,0.03880089295205698,0.42363013698630136,0.3831851253031528,0.006298501116190071,72.23630136986301,445.0,1.0634177215189873,210425.94,0
NY-CMP-51440,Email,Youth,12,"WhatsApp, Email, Instagram",86717,4463,1100,540,367200,411.05,0.65,Hindi,7.04,Youth,2024-07-02,Profitable,True,3,July,7,Q3,Tuesday,"Email, Instagram, WhatsApp",Medium,0.05146626382370239,0.24647098364328926,0.4909090909090909,0.006227152692090363,82.27649563074165,680.0,0.7612037037037037,366788.95,1
NY-CMP-33822,Email,Youth,12,"Email, WhatsApp",40322,4054,1825,1235,836095,119.02,4.69,Tamil,17.64,College Students,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Email, WhatsApp",Medium,0.1005406477853281,0.4501726689689196,0.6767123287671233,0.030628441049551113,206.23951652688703,677.0,0.09637246963562753,835975.98,1
NY-CMP-42610,Email,Tier 2 City Customers,13,"Facebook, YouTube, Google",92195,2082,921,679,522151,410.28,0.87,English,3.99,College Students,2024-07-02,Profitable,False,3,July,7,Q3,Tuesday,"Facebook, Google, YouTube",Medium,0.02258256955366343,0.4423631123919308,0.7372421281216069,0.007364824556646239,250.7929875120077,769.0,0.604241531664212,521740.72,1
NY-CMP-48344,Email,College Students,28,"WhatsApp, YouTube",56077,8144,4859,1527,464208,146.39,1.08,English,25.91,Working Women,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"WhatsApp, YouTube",Long,0.14522888171621165,0.5966355599214146,0.31426219386705084,0.027230415321789683,57.0,304.0,0.09586771447282252,464061.61,1
NY-CMP-7938,Email,College Students,28,Instagram,51385,7542,2561,1744,1126624,89.2,6.24,Hindi,23.06,Working Women,2024-07-02,Profitable,False,1,July,7,Q3,Tuesday,Instagram,Long,0.14677435049138854,0.339565102094935,0.6809839906286607,0.03393986571956797,149.380005303633,646.0,0.05114678899082569,1126534.8,1
NY-CMP-13051,Email,Working Women,19,"Google, YouTube",66440,6652,2540,890,552690,284.2,1.19,English,15.17,College Students,2024-07-02,Profitable,False,2,July,7,Q3,Tuesday,"Google, YouTube",Medium,0.10012040939193258,0.38184004810583283,0.35039370078740156,0.013395544852498494,83.08628983764281,621.0,0.3193258426966292,552405.8,1
NY-CMP-2296,Email,Premium Shoppers,13,YouTube,79146,5797,1912,1298,785290,96.63,5.26,Tamil,11.38,Working Women,2024-07-02,Profitable,False,1,July,7,Q3,Tuesday,YouTube,Medium,0.07324438379703332,0.32982577195100915,0.6788702928870293,0.016400070755312964,135.46489563567363,605.0,0.0744453004622496,785193.37,1
NY-CMP-4098,Email,Tier 2 City Customers,8,"Facebook, Google, Instagram",73003,7858,3929,2900,626400,25.42,7.5,Hindi,20.12,Working Women,2024-07-02,Profitable,False,3,July,7,Q3,Tuesday,"Facebook, Google, Instagram",Short,0.10763941207895567,0.5,0.7381012980402138,0.03972439488788132,79.71494018834309,216.0,0.008765517241379311,626374.58,1
NY-CMP-18416,Email,Premium Shoppers,9,Instagram,33356,3802,800,538,231340,345.1,0.25,Bengali,15.41,Youth,2024-07-02,Profitable,False,1,July,7,Q3,Tuesday,Instagram,Short,0.11398249190550426,0.21041557075223566,0.6725,0.016129032258064516,60.84692267227775,430.0,0.6414498141263941,230994.9,1
NY-CMP-8391,Email,Tier 2 City Customers,28,Facebook,31606,4633,2148,662,509078,98.01,6.85,English,23.55,Working Women,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,Facebook,Long,0.1465860912484971,0.46363047701273474,0.30819366852886404,0.020945390115800797,109.88085473775092,769.0,0.14805135951661633,508979.99,1
NY-CMP-34996,Email,Working Women,6,Email,83265,11997,4282,1731,1381338,149.37,4.34,Tamil,21.63,College Students,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,Email,Short,0.14408214736083588,0.3569225639743269,0.40425035030359646,0.020789047018555214,115.14028507126781,798.0,0.08629116117850953,1381188.63,1
NY-CMP-2748,Email,College Students,8,"WhatsApp, YouTube",80961,4132,1788,1211,435960,109.3,2.29,Tamil,8.81,Tier 2 City Customers,2024-07-03,Profitable,False,2,July,7,Q3,Wednesday,"WhatsApp, YouTube",Short,0.05103691901038772,0.43272023233301066,0.6772930648769575,0.014957819196897272,105.5082284607938,360.0,0.0902559867877787,435850.7,1
NY-CMP-28295,Email,Youth,26,"WhatsApp, Google",15223,392,159,67,22244,4336.57,-0.92,Hindi,4.06,Youth,2024-07-03,Loss-Making,True,2,July,7,Q3,Wednesday,"Google, WhatsApp",Long,0.025750509098075282,0.40561224489795916,0.42138364779874216,0.00440123497339552,56.744897959183675,332.0,64.72492537313433,17907.43,0
NY-CMP-53364,Email,Premium Shoppers,11,"Instagram, Google, WhatsApp",92301,9216,4701,3418,2115742,54.04,10.46,Bengali,18.78,Youth,2024-07-03,Profitable,False,3,July,7,Q3,Wednesday,"Google, Instagram, WhatsApp",Medium,0.09984723892482204,0.5100911458333334,0.727079344820251,0.03703101808214429,229.57269965277777,619.0,0.01581041544763019,2115687.96,1
NY-CMP-35131,Email,Tier 2 City Customers,15,YouTube,41238,5901,2201,973,593530,185.77,2.28,Hindi,22.01,Working Women,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,YouTube,Medium,0.1430961734322712,0.3729876292153872,0.4420717855520218,0.02359474271303167,100.58125741399763,610.0,0.19092497430626929,593344.23,1
NY-CMP-18443,Email,Youth,5,"Instagram, YouTube, WhatsApp",45052,1347,358,112,34832,1449.21,-0.79,Hindi,4.03,Premium Shoppers,2024-07-03,Loss-Making,False,3,July,7,Q3,Wednesday,"Instagram, WhatsApp, YouTube",Short,0.029898783627807866,0.2657757980697847,0.3128491620111732,0.002486016159105034,25.85894580549369,311.0,12.939375,33382.79,0
NY-CMP-7146,Email,Tier 2 City Customers,22,Facebook,81134,2462,526,321,136746,201.26,1.12,English,4.08,Youth,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,Facebook,Long,0.030344861587004217,0.21364744110479286,0.6102661596958175,0.003956417777996894,55.54264825345248,426.0,0.6269781931464175,136544.74,1
NY-CMP-37761,Email,Premium Shoppers,24,"Facebook, YouTube, WhatsApp",21486,908,347,186,131874,777.59,-0.09,Hindi,6.71,Tier 2 City Customers,2024-07-03,Loss-Making,False,3,July,7,Q3,Wednesday,"Facebook, WhatsApp, YouTube",Long,0.042260076328772225,0.38215859030837,0.5360230547550432,0.008656799776598716,145.23568281938327,709.0,4.180591397849462,131096.41,0
NY-CMP-54101,Email,College Students,17,Google,62806,9280,3023,1837,641113,148.51,1.35,Hindi,22.51,College Students,2024-07-03,Profitable,True,1,July,7,Q3,Wednesday,Google,Medium,0.14775658376588224,0.3257543103448276,0.6076744955342375,0.029248797885552336,69.0854525862069,349.0,0.08084376701143167,640964.49,1
NY-CMP-4688,Email,College Students,29,"YouTube, Facebook",32768,3660,2161,1500,615000,154.34,1.66,Hindi,22.34,Premium Shoppers,2024-07-03,Profitable,False,2,July,7,Q3,Wednesday,"Facebook, YouTube",Long,0.1116943359375,0.5904371584699454,0.6941230911614993,0.0457763671875,168.0327868852459,410.0,0.10289333333333334,614845.66,1
NY-CMP-8819,Email,Working Women,20,YouTube,16187,1772,742,561,123420,183.92,0.2,English,19.0,Working Women,2024-07-03,Profitable,True,1,July,7,Q3,Wednesday,YouTube,Medium,0.10947056279730648,0.4187358916478555,0.7560646900269542,0.0346574411564836,69.65011286681715,220.0,0.32784313725490194,123236.08,1
NY-CMP-19099,Email,Premium Shoppers,24,YouTube,78908,8304,3015,947,233909,61.4,3.02,Tamil,15.54,College Students,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,YouTube,Long,0.10523647792365794,0.36307803468208094,0.31409618573797676,0.012001317990571298,28.16823217726397,247.0,0.06483632523759239,233847.6,1
NY-CMP-23753,Email,Tier 2 City Customers,27,WhatsApp,44656,5310,2234,1692,1296072,114.39,5.7,English,20.68,College Students,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,WhatsApp,Long,0.11890899319240415,0.4207156308851224,0.7573858549686661,0.03788964528842709,244.0813559322034,766.0,0.0676063829787234,1295957.61,1
NY-CMP-14546,Email,Youth,15,"WhatsApp, Facebook, Instagram",92691,7874,4268,2935,950940,29.25,10.08,Bengali,16.27,Youth,2024-07-03,Profitable,True,3,July,7,Q3,Wednesday,"Facebook, Instagram, WhatsApp",Medium,0.08494891629176511,0.5420370840741682,0.6876757263355201,0.03166434713186825,120.76962153924308,324.0,0.009965928449744463,950910.75,1
NY-CMP-38683,Email,Tier 2 City Customers,10,"YouTube, Facebook, Google",42817,6383,2251,804,394764,324.43,0.51,Bengali,22.04,Working Women,2024-07-03,Profitable,False,3,July,7,Q3,Wednesday,"Facebook, Google, YouTube",Short,0.14907630146904266,0.35265549114836287,0.3571745890715238,0.01877758834107948,61.84615384615385,491.0,0.40351990049751246,394439.57,1
NY-CMP-52868,Email,Youth,12,"WhatsApp, YouTube",42002,5236,1049,809,498344,247.77,1.49,English,16.89,College Students,2024-07-03,Profitable,False,2,July,7,Q3,Wednesday,"WhatsApp, YouTube",Medium,0.12466073044140755,0.20034377387318564,0.771210676835081,0.01926098757202038,95.17647058823529,616.0,0.30626699629171816,498096.23,1
NY-CMP-3669,Email,Tier 2 City Customers,17,WhatsApp,84799,8474,1930,1338,544566,169.21,1.41,English,13.85,Youth,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,WhatsApp,Medium,0.09993042370782675,0.22775548737314139,0.6932642487046632,0.01577848795386738,64.26315789473684,407.0,0.12646487294469358,544396.79,1
NY-CMP-37950,Email,Working Women,20,"Facebook, WhatsApp, Instagram",76465,1836,769,614,295334,434.82,0.11,Tamil,4.21,Tier 2 City Customers,2024-07-03,Profitable,False,3,July,7,Q3,Wednesday,"Facebook, Instagram, WhatsApp",Medium,0.024010985418165175,0.4188453159041394,0.7984395318595578,0.008029817563591186,160.85729847494554,481.0,0.7081758957654724,294899.18,1
NY-CMP-42739,Email,College Students,26,Email,92375,11440,6777,2833,2070923,59.57,11.27,Bengali,22.79,Working Women,2024-07-03,Profitable,False,1,July,7,Q3,Wednesday,Email,Long,0.12384303112313938,0.5923951048951049,0.4180315773941272,0.030668470906630583,181.02473776223775,731.0,0.02102717966819626,2070863.43,1
NY-CMP-38512,Email,Youth,28,"Email, Google",63795,8957,3185,1185,496515,149.56,1.8,Bengali,20.89,Youth,2024-07-03,Profitable,True,2,July,7,Q3,Wednesday,"Email, Google",Long,0.14040285288815738,0.3555878084179971,0.37205651491365777,0.01857512344227604,55.43318075248409,419.0,0.126210970464135,496365.44,1
NY-CMP-18026,Email,Premium Shoppers,5,"WhatsApp, Facebook, Instagram",28224,3721,1998,1496,396440,43.3,5.12,Hindi,25.56,College Students,2024-07-03,Profitable,False,3,July,7,Q3,Wednesday,"Facebook, Instagram, WhatsApp",Short,0.13183815192743764,0.5369524321418974,0.7487487487487487,0.05300453514739229,106.54125235151841,265.0,0.028943850267379678,396396.7,1
